省份,风俗详情
福建,"【福州·十番】

原名“协欢”，意为声协和而成欢，是福州主要地方乐曲之一，由民间龙灯舞演变发展而来，曲调悠扬动听。"
广西,"【桂林·壮族】

以壮锦为标志，喜好唱歌。古有歌仙刘三姐，今有姑娘木叶歌，节庆有三月三歌节。壮族歌圩，在长期发展的过程中有着许多动人的传说。其中比较流行的是“赛歌择婿”的故事。传说在以前，有位壮族老歌手的闺女长的十分美丽，又很会唱山歌，老人希望挑选一位歌才出众的青年为婿。各地青年歌手纷纷赶来，赛歌求婚，从此就形成了定期的赛歌集会。"
广西,"【桂林·苗族】

刺绣蜡染，工艺独特，芦笙踩堂，欢度良宵。苗族的旧年和汉族的春节相似，农历十二月下旬，家家舂糯米，买年货，出嫁的女子也随同丈夫回娘家，到正月初七才能回夫家。苗族的宗教信仰主要是祖先崇拜，每年二月初二和六月初六都做粽子祭奠。自然崇拜也占有重要地位。"
广西,"【桂林·回族】

回族人都重视给子女受教育，包括伊斯兰教育和汉文化教育回族皆围寺而居，这是由于回族因信仰伊斯兰教所决定的。因此清真寺自然地成为回民社会的活动中心，既所宗教活动中心，也是议论大事、联络感情的中心。"
广西,"【桂林·瑶族】

住高山区，大桶药浴，淋漓痛快，驱风去病，实属民间一绝。节庆有打旗公节（农历5月14日），粽子祭祖，祈祷丰年。龙胜境内的瑶族分为盘瑶、花瑶和红瑶。盘瑶因崇拜“盘瓠”而得名，又名过山瑶；花瑶因其妇女服饰花色花纹多而得名；红瑶妇女服装分饰衫、花衣、便衣三种，从红瑶妇女的头饰就可区分少女、未婚妇女、已婚妇女。"
广西,"【桂林·侗族】

高超的建筑艺术，以风雨桥、鼓楼为代表。一杯拦路酒，醉人心扉。一曲拦路歌，情真意切。龙胜的侗族擅长建筑，宏伟壮观、凌厉飞扬的鼓楼和风雨桥，是侗乡重要的标识。全杉木结构，凿榫穿枋，架挑对接，吊脚悬空，不用一钉一铆，体现出一种朴素。侗族风情“月也”和拦路歌“月也”，侗语，意为集体出访做客。侗族传统交际联谊活动。时在农历正月和八月。拦路歌，侗族迎客送客时唱的歌，多用于“月也”场合。"
广西,"【桂林·广西大鼓】

讲究架子功，表演潇洒利落，刚柔有致。"
广西,"【桂林·桂剧】

桂林地方戏，广西代表性剧种之一。"
广西,"【桂林·广西文场】

由唱腔曲牌与器乐曲牌组成。"
广西,"【桂林·傩戏】

又名神剧。是在傩舞（俗称跳神）基础上发展起来的。"
广西,"【桂林·桂林民歌】

与劳动相联系的笛篙歌（渔歌）、山歌等；与民族相联系的龙船歌、贺郎歌、伴郎歌。"
广西,"【桂林·彩调剧】

俗称调子、彩调、彩灯、哪嗬嗨等，属灯戏系统。"
广西,"【桂林·桂林杂技】

主要节目有《钻地圈》、《水流星》、《狮舞》、《双顶技》、《倒立晃圈》。"
广西,"【桂林·零零落】

杂曲类曲种。广西壮族自治区代表性曲艺形式之一。"
广西,"【桂林·桂林渔鼓】

鼓曲类道情分类曲种。又名广西渔鼓。是广西代表性民间说唱艺术形式之一。"
广西,"【桂林·桂林弹词】

鼓曲类弹词分类曲种。又名“广西说唱”、“广西说书”。"
广西,"【桂林·河灯歌节】

每年的七月半（农历7月12日至14日）是资源县河灯歌节定期举办时间，资源各族人民云集县城，资江两岸三天三夜，歌声缭绕，整个县城笼入了歌海之中，十四日夜晚可领略“万盏河灯漂资江”的人间奇观。"
广西,"【桂林·兴安葡萄节米粉节】

每年8月的中下旬，兴安人民会载歌载舞欢聚一堂，庆祝属于兴安县人自己的节日。节日期间，最为热闹的街道就属秦皇路了。"
广西,"【南宁·绣球】

绣球本是南宁市壮族地区青年男女定情信物，绣球以彩绸制成，直径约6厘米，内装豆类或沙子，重约150克，底部缀有 十多条穗带，球顶连着一根长约60厘米的飘带。在歌圩，如发现情意合者，女方便用绣球向男方抛去， 借此表达爱情。抛绣球现已发展成为一项少数民族传统体育项目。"
安徽,"【合肥·庐剧】

合肥是庐剧的发源地，庐剧旧称“倒七戏”，俗称“小戏”、“祷祭戏”、“小倒戏”、“小蛮戏”，是安徽省地方戏主要剧种之一，流行于安徽境内皖中、皖西、沿江的大片地区和江南的部分地区。庐剧是在大别山一带的山歌、淮河一带的花灯歌舞的基础上吸收了锣鼓书（门歌）、端公戏、嗨子戏的唱腔发展而成。"
安徽,"【黄山·徽州婚嫁】

旧时，徽州婚嫁严格遵循父母之命，媒妁之言。一般有九道程序：说媒、行聘、请期、搬行嫁、开脸、迎亲、拜堂、闹洞房、回门。说媒者一般为年长女性，称“媒婆”。行聘俗称“送担”，女方接礼后当天回礼，婚事即定。定亲后，由男方选定结婚日期通知女方，称“请期”。请期后搬行嫁。迎亲当天，由姑妈或舅妈用两根丝线把新娘额头的汗毛绞去，谓之“开脸”，亦称“拉面”。接着便是迎亲、拜堂、闹洞房。婚后第三天，新郎陪同新娘回拜父母，谓之“回门”。此为“明媒正娶”。"
安徽,"【黄山·重阳庙会】

重阳庙会是屯溪近郊的临溪镇传统庙会。前后举办3天，农历九月初九为正日。这天，四乡八镇的善男信女成群结队赶来朝拜周王菩萨，并带来各种农副产品和手工业产品进行交易。庙会期间，搭台唱戏，从日落唱到日出，通宵达旦，煞是热闹。建国后，庙会成为地道的农副产品和手工业品的交易会。"
安徽,"【黄山·上九庙会】

农历正月初九日为唐朝忠烈张巡和许远殉难日，徽州区岩寺镇每年于此日举行庙会纪念，俗称“上九会”。会期三天，初八日开始，初十日结束。庙会期间，举行游神、祭神活动，搭台唱戏，各地商贩亦前来赶会，摆设摊点，各种农副土特产品和农具、日用百货应有尽有。现“上九会”已失去原来纪念张巡、许远的意义，取消了游神活动，成为一年一度的物资交流会。"
安徽,"【黄山·抛绣球】

抛绣球是黟县西递村举办的一项民俗旅游活动。该村的清代民居“大夫第”，在临街的一面，悬空挑出一座小巧玲珑、古朴典雅的“绣楼”。这本是原房主、朝列大夫胡文照给夫人、小姐们歇凉观景用的。如今人们把它作为抛彩球的绣楼，则别有一番清代小说中的“抛彩球择婿”，而且给游客一个“喜兆”，中彩球的游客，将会幸运长驻，万事如意。"
安徽,"【黄山·目莲戏】

目莲戏为徽州一古老剧种，流传于黄山市各地及邻县，尤其盛行于祁门、石台一带。该戏剧本《目莲救母劝善戏文》，为明代祁门人郑之珍编撰而成，分上、中、下三卷（100折），故事主要写傅相之妻刘青提，亵渎神明，被打入地狱，其子傅罗卜救母心切，遍历地狱十殿，终于母子团圆。旧时每逢夏历闰月之年，徽州民间多演此戏，以求驱邪避灾。"
安徽,"【黄山·抬阁】

抬阁是流行于休宁、屯溪的一种民间游艺，又称“抬角”。抬阁共分上、中、下三层，将俊俏儿童装扮成一出出故事造型，安置在三层抬阁上，底盘由四至八名彪形大汉抬着。抬阁的四周用纸扎成龙、凤、鹤、祥云、水花等彩灯，巡游时彩灯内点燃蜡烛，映照着服装鲜艳的儿童，远远望去，酷似天仙下凡。抬阁上的人物不唱不做，但配上鼓乐开路、锣钹断后，热闹非凡。今屯溪隆阜还经常组织抬阁队上街，近年创作了《戴震还乡》，以纪念一代宗师。"
安徽,"【黄山·叠罗汉】

叠罗汉为流行于歙县叶村的一种民间游艺。表演时演员下穿红彩裤，上身赤膊光膀，面部绘有脸谱。演员均为男性，表演浑朴粗犷。演出前举行祭台仪式，焚纸烧香、罗汉扫堂，然后从演员相继登台或在广场上表演。演员不说不唱，在大鼓敲击的简单节奏下，分别表演童子拜观音、斜角旗、仙人桥、石猴出山、六柱牌坊、凉心水阁、水帘洞、刘海戏金蟾等造型。表演时先易后难，特别是水帘洞中演员的筋斗及六柱牌坊20余位演员叠成的六层造型，最为精彩。"
安徽,"【黄山·跳钟馗】

跳钟馗是一种民间舞蹈，又称“嬉钟馗”，流行于今徽州区岩寺镇、歙县朱家村一带。据说明万历年间就有此习俗。每年端午节，这些地区都要“嬉钟馗”，以求驱邪降福，保佑村民平安。古时“嬉钟馗”是以木偶架在肩上嬉耍，后来发展到由人扮演钟馗，在村中巡游嬉耍。近年来，歙县郑村镇的堨田村，每年端午节都要举行这项活动，煞是热闹。"
安徽,"【黄山·仗鼓舞】

仗鼓舞是流行于休宁五城、榆村和屯溪黎阳一带的一种民间舞蹈，又名“得胜鼓”。传说是为了纪念唐代大将张巡、许远抗击安禄山叛军得胜，而击鼓欢庆。此舞由数十人表演，击鼓者打扮成武士，短打紧身，十字披红，颈挎仗鼓（扁圆形皮鼓），右手紧握短而粗的鼓槌，左手持健铃，随着行进步伐击鼓面或敲鼓边。另有十数人手持檀木夹板，边行进边击拍，发出清脆的响声。队列前面有一对大红灯笼，一人持纛，上书“得胜鼓”三字，后随一队蜈蚣旗幡，整个场面威武雄壮，令人振奋。"
江西,"【南昌】

传统节会有凤凰沟樱花节、中国红歌会、绳金塔庙会、天香园旅游文化节、鄱阳湖螃蟹节、南昌（望城镇）之光超级艺术灯会、万达乐园年会、西山万寿宫庙会等。"
山东,"【青岛·节庆与庙会】

青岛国际啤酒节、元宵山会、海云庵糖球会、新正民俗文化庙会、青岛樱花会、金沙滩音乐节、大泽山葡萄节、青岛梅花节、青岛酒吧文化节、田横祭海节、青岛国际海洋节、胶州秧歌节、青岛萝卜会。"
